method,tau_s,noise_level,drift_level,delay_s,runs,overall_mae,accepted_mae,bad_output_rate,acceptance_rate,rejection_rate,forwarding_rate,false_acceptance_rate_all_runs,false_rejection_rate_all_runs,conditional_false_acceptance_rate,conditional_false_rejection_rate,bad_rate_among_accepted,mean_full_trust_score,mean_method_score,mean_estimated_noise,mean_estimated_drift,mean_confidence
raw_phys_mcp_output,1.0,0.0,0.0,20.0,30,0.18256871749435263,0.18256871749435263,0.2,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.2,0.6921364532020899,,0.025138064463762155,0.018821555252781546,0.8125054304637498
confidence_only,1.0,0.0,0.0,20.0,30,0.18256871749435263,0.16972640934797875,0.2,0.7333333333333333,0.0,0.26666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.0,0.22727272727272727,0.6921364532020899,0.8125054304637498,0.025138064463762155,0.018821555252781546,0.8125054304637498
freshness_only,1.0,0.0,0.0,20.0,30,0.18256871749435263,,0.2,0.0,1.0,0.0,0.0,0.8,0.0,1.0,,0.6921364532020899,2.061153622438558e-09,0.025138064463762155,0.018821555252781546,0.8125054304637498
full_trust_score,1.0,0.0,0.0,20.0,30,0.18256871749435263,,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6921364532020899,0.6921364532020899,0.025138064463762155,0.018821555252781546,0.8125054304637498
raw_phys_mcp_output,1.0,0.0,0.1,0.1,30,0.1000460480089037,0.1000460480089037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760333800105677,,0.026056280720300966,0.11014498827166222,0.7354973709982746
confidence_only,1.0,0.0,0.1,0.1,30,0.1000460480089037,0.10039071339130905,0.0,0.43333333333333335,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.8760333800105677,0.7354973709982746,0.026056280720300966,0.11014498827166222,0.7354973709982746
freshness_only,1.0,0.0,0.1,0.1,30,0.1000460480089037,0.1000460480089037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760333800105677,0.9048374180359595,0.026056280720300966,0.11014498827166222,0.7354973709982746
full_trust_score,1.0,0.0,0.1,0.1,30,0.1000460480089037,0.1000460480089037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760333800105677,0.8760333800105677,0.026056280720300966,0.11014498827166222,0.7354973709982746
raw_phys_mcp_output,1.0,0.0,0.1,1.0,30,0.09966559700156251,0.09966559700156251,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7529647974386983,,0.01875604268440825,0.1034156453104243,0.7661514365781834
confidence_only,1.0,0.0,0.1,1.0,30,0.09966559700156251,0.10082285868388154,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7529647974386983,0.7661514365781834,0.01875604268440825,0.1034156453104243,0.7661514365781834
freshness_only,1.0,0.0,0.1,1.0,30,0.09966559700156251,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.7529647974386983,0.3678794411714423,0.01875604268440825,0.1034156453104243,0.7661514365781834
full_trust_score,1.0,0.0,0.1,1.0,30,0.09966559700156251,0.09885986799332491,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.7529647974386983,0.7529647974386983,0.01875604268440825,0.1034156453104243,0.7661514365781834
raw_phys_mcp_output,1.0,0.0,0.1,3.0,30,0.10237574036495972,0.10237574036495972,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68042378362316,,0.015817224233433222,0.09964569449762183,0.7873709848558312
confidence_only,1.0,0.0,0.1,3.0,30,0.10237574036495972,0.10110600432410372,0.0,0.6333333333333333,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.68042378362316,0.7873709848558312,0.015817224233433222,0.09964569449762183,0.7873709848558312
freshness_only,1.0,0.0,0.1,3.0,30,0.10237574036495972,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.68042378362316,0.049787068367863944,0.015817224233433222,0.09964569449762183,0.7873709848558312
full_trust_score,1.0,0.0,0.1,3.0,30,0.10237574036495972,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.68042378362316,0.68042378362316,0.015817224233433222,0.09964569449762183,0.7873709848558312
raw_phys_mcp_output,1.0,0.0,0.1,5.0,30,0.09704751833691881,0.09704751833691881,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609772831325559,,0.018577269078800564,0.1019950924085282,0.7577435470184667
confidence_only,1.0,0.0,0.1,5.0,30,0.09704751833691881,0.10669676829844679,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.6609772831325559,0.7577435470184667,0.018577269078800564,0.1019950924085282,0.7577435470184667
freshness_only,1.0,0.0,0.1,5.0,30,0.09704751833691881,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.6609772831325559,0.006737946999085467,0.018577269078800564,0.1019950924085282,0.7577435470184667
full_trust_score,1.0,0.0,0.1,5.0,30,0.09704751833691881,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6609772831325559,0.6609772831325559,0.018577269078800564,0.1019950924085282,0.7577435470184667
raw_phys_mcp_output,1.0,0.0,0.1,10.0,30,0.13867626642631736,0.13867626642631736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6615722199600794,,0.02868454861878302,0.09341193646022349,0.7683399649895616
confidence_only,1.0,0.0,0.1,10.0,30,0.13867626642631736,0.15492715391445172,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6615722199600794,0.7683399649895616,0.02868454861878302,0.09341193646022349,0.7683399649895616
freshness_only,1.0,0.0,0.1,10.0,30,0.13867626642631736,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.6615722199600794,4.5399929762484854e-05,0.02868454861878302,0.09341193646022349,0.7683399649895616
full_trust_score,1.0,0.0,0.1,10.0,30,0.13867626642631736,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6615722199600794,0.6615722199600794,0.02868454861878302,0.09341193646022349,0.7683399649895616
raw_phys_mcp_output,1.0,0.0,0.1,20.0,30,0.18059604026279635,0.18059604026279635,0.2,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.2,0.6651317223307933,,0.01810157695192923,0.08820571948042406,0.7668341836943733
confidence_only,1.0,0.0,0.1,20.0,30,0.18059604026279635,0.15217364814856288,0.2,0.5666666666666667,0.0,0.43333333333333335,0.06666666666666667,0.0,0.3333333333333333,0.0,0.11764705882352941,0.6651317223307933,0.7668341836943733,0.01810157695192923,0.08820571948042406,0.7668341836943733
freshness_only,1.0,0.0,0.1,20.0,30,0.18059604026279635,,0.2,0.0,1.0,0.0,0.0,0.8,0.0,1.0,,0.6651317223307933,2.061153622438558e-09,0.01810157695192923,0.08820571948042406,0.7668341836943733
full_trust_score,1.0,0.0,0.1,20.0,30,0.18059604026279635,,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.6651317223307933,0.6651317223307933,0.01810157695192923,0.08820571948042406,0.7668341836943733
raw_phys_mcp_output,1.0,0.0,0.2,0.1,30,0.1998871028461675,0.1998871028461675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433479770920299,,0.02334103169287381,0.22410056024060407,0.7159960822656379
confidence_only,1.0,0.0,0.2,0.1,30,0.1998871028461675,0.2002144083495422,0.0,0.43333333333333335,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.8433479770920299,0.7159960822656379,0.02334103169287381,0.22410056024060407,0.7159960822656379
freshness_only,1.0,0.0,0.2,0.1,30,0.1998871028461675,0.1998871028461675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433479770920299,0.9048374180359595,0.02334103169287381,0.22410056024060407,0.7159960822656379
full_trust_score,1.0,0.0,0.2,0.1,30,0.1998871028461675,0.1998871028461675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433479770920299,0.8433479770920299,0.02334103169287381,0.22410056024060407,0.7159960822656379
raw_phys_mcp_output,1.0,0.0,0.2,1.0,30,0.19927955841313205,0.19927955841313205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255343149402799,,0.011700135249856145,0.21239042557728852,0.7583483794168219
confidence_only,1.0,0.0,0.2,1.0,30,0.19927955841313205,0.20216301967126918,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7255343149402799,0.7583483794168219,0.011700135249856145,0.21239042557728852,0.7583483794168219
