seed,experiment,method,coverage,forwarding_rate,rejection_rate,false_acceptance_rate,unsafe_acceptance_frequency,accepted_output_contamination_rate,accepted_mae,fusion_mae,fusion_allowed_rate
1313,fog_fusion,uncertainty_weighted,,,,,,,,0.12914829009294373,0.84525
1313,fog_fusion,trust_only,,,,,,,,0.13113048812115694,0.84525
1313,fog_fusion,median,,,,,,,,0.14362762338362875,0.84525
1313,fog_fusion,original_trust_uncertainty,,,,,,,,0.12996097054098074,0.84525
1313,fog_fusion,orthogonal_trust_uncertainty,,,,,,,,0.1294301851341644,0.84525
1414,controlled_baseline,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.6090277777777777,0.6090277777777777,0.49630076263005146,,
1414,controlled_baseline,confidence_only,0.26160714285714287,0.7112103174603175,0.027182539682539683,0.2083401205408047,0.12688492063492063,0.4850208570345089,0.36199718307834233,,
1414,controlled_baseline,freshness_only,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3308356409838736,0.20148809523809524,0.6044642857142857,0.48706420756094126,,
1414,controlled_baseline,full_trust_score,0.15902777777777777,0.7879960317460317,0.052976190476190475,0.08323831242873432,0.050694444444444445,0.31877729257641924,0.23895657466322753,,
1414,random_stress,raw_phys_mcp_output,1.0,0.0,0.0,1.0,0.7304,0.7304,0.6593681748293426,,
1414,random_stress,confidence_only,0.1634,0.7726,0.064,0.1356790799561884,0.0991,0.6064871481028152,0.4682749743352665,,
1414,random_stress,freshness_only,0.0733,0.1918,0.7349,0.07037239868565169,0.0514,0.7012278308321964,0.6192985935653181,,
1414,random_stress,full_trust_score,0.0244,0.7432,0.2324,0.011089813800657175,0.0081,0.3319672131147541,0.24668119298849303,,
1414,fog_fusion,simple_average,,,,,,,,0.14003538986693784,0.831
1414,fog_fusion,confidence_weighted,,,,,,,,0.13915286341538566,0.831
1414,fog_fusion,uncertainty_weighted,,,,,,,,0.1350655606762382,0.831
1414,fog_fusion,trust_only,,,,,,,,0.13655731903561913,0.831
1414,fog_fusion,median,,,,,,,,0.14965605465852574,0.831
